pair;timeframe;strategy;tp;threshold;to;stochT;sl;againstCrowd;name;positions;profit;drawdown;long;winratio;positivedaysratio;meanloss;meanwin;meantrade;stddeviationwin;stddeviationloss;stddeviation;meanholdtime;hitTo;hitTp;hitSl;stringCodedParams;stringCodedPositions;stringCodedResult;
AUDUSD;168;SSIStochStrategy_V0;0,11;0,05;18000000;40800000;0,06;True;SSIStochStrategy_V0;59;-0,00869999999999982;-0,00869999999999982;0,271186440677966;0,271186440677966;0;-0,000506976744186047;0,000818750000000014;-0,000147457627118641;3,9031237489989E-05;2,547546779095E-05;0,000590132398877191;39;0;16;43;pair:AUDUSD|timeframe:168|strategy:SSIStochStrategy_V0|tp:0,11|threshold:0,05|to:18000000|stochT:40800000|sl:0,06|againstCrowd:True|name:SSIStochStrategy_V0;L:1450659467435:0,716:1450659992435:0,7155|L:1450659993435:0,7156:1450661160435:0,7164|S:1450661494435:0,7163:1450661882435:0,7168|L:1450661883435:0,7168:1450664787435:0,7163|S:1450665729435:0,7162:1450665919435:0,7167|S:1450665920435:0,7166:1450666028435:0,7171|S:1450666090435:0,7169:1450669027435:0,716|L:1450672891435:0,7166:1450681114435:0,7175|S:1450685154435:0,7178:1450686805435:0,7169|S:1450687118435:0,7165:1450704111435:0,717|S:1450735002435:0,7188:1450735277435:0,7194|S:1450735857435:0,7189:1450740377435:0,7194|S:1450747313435:0,7196:1450749113435:0,7201|S:1450749516435:0,72:1450752711435:0,7205|L:1450791083435:0,7238:1450791320435:0,7246|L:1450791875435:0,7244:1450791978435:0,7239|L:1450794836435:0,7244:1450799018435:0,7239|L:1450799486435:0,7236:1450799978435:0,7231|L:1450800156435:0,7234:1450802344435:0,7229|L:1450802972435:0,7229:1450806035435:0,7237|L:1450806088435:0,7237:1450807165435:0,7232|L:1450807306435:0,7231:1450813512435:0,7226|S:1450832114435:0,7234:1450836118435:0,7239|S:1450836531435:0,7239:1450842426435:0,7231|S:1450843458435:0,7232:1450847777435:0,7237|S:1450859845435:0,7235:1450861338435:0,7227|S:1450861437435:0,7228:1450862822435:0,722|S:1450863149435:0,7222:1450865002435:0,7227|S:1450865049435:0,7226:1450866157435:0,7231|S:1450866158435:0,723:1450868709435:0,7222|S:1450868710435:0,7222:1450869635435:0,7227|S:1450869636435:0,7226:1450877085435:0,7218|S:1450877294435:0,7215:1450877389435:0,722|S:1450877390435:0,7219:1450877816435:0,7211|S:1450877817435:0,7211:1450879119435:0,7216|S:1450882157435:0,7213:1450883071435:0,7218|L:1450896840435:0,7223:1450899149435:0,7231|L:1450912716435:0,7238:1450912753435:0,7233|L:1450912754435:0,7235:1450913428435:0,7229|S:1450923113435:0,7252:1450924060435:0,7257|S:1450924061435:0,7256:1450926534435:0,7248|S:1450926544435:0,7248:1450928291435:0,7253|S:1450928292435:0,7252:1450934142435:0,7257|S:1450934143435:0,7256:1450937754435:0,7261|S:1450938039435:0,726:1450940156435:0,7266|S:1450940608435:0,7265:1450940960435:0,727|S:1450941279435:0,7268:1450942707435:0,7273|S:1450943090435:0,7267:1450943373435:0,7272|S:1450943520435:0,7269:1450943719435:0,7274|S:1450943720435:0,7274:1450947045435:0,7279|S:1450950225435:0,7272:1450954529435:0,7277|S:1450961038435:0,727:1450962887435:0,7262|S:1450963126435:0,7261:1450963800435:0,7266|S:1450964106435:0,7267:1450965744435:0,7272|S:1450965817435:0,7271:1450968500435:0,7276|S:1450968738435:0,7276:1450969698435:0,7268|L:1450972399435:0,727:1450976801435:0,7265|S:1450976996435:0,7267:1450978793435:0,7272|S:1450978794435:0,7271:1450979983435:0,7276|;positions:59|profit:-0,00869999999999982|drawdown:-0,00869999999999982|long:0,271186440677966|winratio:0,271186440677966|positivedaysratio:0|meanloss:-0,000506976744186047|meanwin:0,000818750000000014|meantrade:-0,000147457627118641|stddeviationwin:3,9031237489989E-05|stddeviationloss:2,547546779095E-05|stddeviation:0,000590132398877191|meanholdtime:39|hitTo:0|hitTp:16|hitSl:43;
AUDJPY;168;SSIStochStrategy_V0;0,11;0,05;16200000;43200000;0,11;False;SSIStochStrategy_V0;36;-0,339999999999947;-0,439999999999984;0,5;0,444444444444444;0,5;-0,0974999999999966;0,100624999999999;-0,00944444444444296;0,00242061459137973;0,0181314643644691;0,0993854573657637;56;1;16;19;pair:AUDJPY|timeframe:168|strategy:SSIStochStrategy_V0|tp:0,11|threshold:0,05|to:16200000|stochT:43200000|sl:0,11|againstCrowd:False|name:SSIStochStrategy_V0;L:1450659040435:86,85:1450659642435:86,74|S:1450659956435:86,78:1450661950435:86,88|S:1450661951435:86,87:1450665442435:86,77|L:1450665538435:86,79:1450666028435:86,89|S:1450667138435:86,8:1450672574435:86,9|L:1450676742435:87,05:1450677733435:86,95|S:1450680604435:87,04:1450681740435:87,15|S:1450683929435:87,06:1450685182435:87,16|S:1450685461435:87,1:1450687016435:87|S:1450689168435:86,97:1450705369435:86,99|S:1450706651435:86,98:1450707628435:87,08|S:1450707642435:87,07:1450709651435:86,97|S:1450711814435:87,15:1450713325435:87,05|S:1450713899435:87:1450715035435:86,9|S:1450715197435:86,85:1450715684435:86,75|L:1450728751435:87,01:1450733364435:87,11|L:1450739507435:87,12:1450740475435:87,22|L:1450745541435:87,19:1450747724435:87,29|L:1450747725435:87,29:1450753118435:87,4|L:1450753368435:87,49:1450754048435:87,39|L:1450754049435:87,4:1450755661435:87,5|L:1450756061435:87,54:1450770458435:87,64|L:1450794897435:87,6:1450797130435:87,5|S:1450819724435:87,5:1450820984435:87,6|S:1450821303435:87,61:1450823450435:87,51|S:1450823451435:87,49:1450827238435:87,59|L:1450858862435:87,57:1450860708435:87,47|L:1450861132435:87,5:1450862608435:87,4|L:1450862609435:87,41:1450869066435:87,31|L:1450869976435:87,36:1450877085435:87,25|L:1450880246435:87,21:1450884606435:87,31|S:1450905214435:87,51:1450911546435:87,41|S:1450911576435:87,39:1450912238435:87,49|S:1450912402435:87,47:1450918500435:87,57|L:1450940858435:87,6:1450948632435:87,5|L:1450967362435:87,53:1450969798435:87,43|;positions:36|profit:-0,339999999999947|drawdown:-0,439999999999984|long:0,5|winratio:0,444444444444444|positivedaysratio:0,5|meanloss:-0,0974999999999966|meanwin:0,100624999999999|meantrade:-0,00944444444444296|stddeviationwin:0,00242061459137973|stddeviationloss:0,0181314643644691|stddeviation:0,0993854573657637|meanholdtime:56|hitTo:1|hitTp:16|hitSl:19;
GBPUSD;168;SSIStochStrategy_V0;0,11;0;30600000;73200000;0,11;True;SSIStochStrategy_V0;0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;0;0;pair:GBPUSD|timeframe:168|strategy:SSIStochStrategy_V0|tp:0,11|threshold:0|to:30600000|stochT:73200000|sl:0,11|againstCrowd:True|name:SSIStochStrategy_V0;;positions:0|profit:0|drawdown:0|long:NaN|winratio:NaN|positivedaysratio:NaN|meanloss:NaN|meanwin:NaN|meantrade:NaN|stddeviationwin:NaN|stddeviationloss:NaN|stddeviation:NaN|hitTo:0|hitTp:0|hitSl:0;
GBPUSD;168;SSIStochStrategy_V0;0,51;0,1;28800000;62400000;0,26;True;SSIStochStrategy_V0;6;0,00480000000000014;0;0,833333333333333;0,666666666666667;0,666666666666667;-0,000499999999999945;0,00145000000000001;0,000800000000000023;0,000788986691902969;0;0,00112249721603216;1234;5;0;0;pair:GBPUSD|timeframe:168|strategy:SSIStochStrategy_V0|tp:0,51|threshold:0,1|to:28800000|stochT:62400000|sl:0,26|againstCrowd:True|name:SSIStochStrategy_V0;S:1450658978435:1,4912:1450687779435:1,49|L:1450689414435:1,4898:1450718215435:1,4893|L:1450728259435:1,4883:1450757060435:1,4886|L:1450802104435:1,481:1450830905435:1,4829|L:1450898851435:1,486:1450927652435:1,4884|L:1450960486435:1,4929:1451260804435:1,4924|;positions:6|profit:0,00480000000000014|drawdown:0|long:0,833333333333333|winratio:0,666666666666667|positivedaysratio:0,666666666666667|meanloss:-0,000499999999999945|meanwin:0,00145000000000001|meantrade:0,000800000000000023|stddeviationwin:0,000788986691902969|stddeviationloss:0|stddeviation:0,00112249721603216|meanholdtime:1234|hitTo:5|hitTp:0|hitSl:0;
USDCHF;168;SSIStochStrategy_V0;0,26;0,25;18000000;73200000;0,26;True;SSIStochStrategy_V0;16;-0,0108000000000004;-0,0116000000000003;0,5;0,375;0;-0,0020666666666667;0,00129999999999999;-0,000720000000000024;0,000966091783079295;0,000865383665716485;0,00188226813534453;231;8;2;6;pair:USDCHF|timeframe:168|strategy:SSIStochStrategy_V0|tp:0,26|threshold:0,25|to:18000000|stochT:73200000|sl:0,26|againstCrowd:True|name:SSIStochStrategy_V0;L:1450659278435:0,9922:1450677279435:0,9914|S:1450677280435:0,9914:1450686110435:0,994|S:1450703090435:0,9946:1450706450435:0,9919|S:1450714206435:0,9919:1450732215435:0,9919|L:1450755632435:0,9927:1450773633435:0,9931|S:1450789204435:0,99:1450796912435:0,9874|S:1450804192435:0,986:1450821970435:0,9887|L:1450822644435:0,9879:1450840645435:0,9887|S:1450842908435:0,9882:1450860668435:0,9908|S:1450860701435:0,9909:1450878702435:0,9915|S:1450880124435:0,9919:1450890747435:0,9945|L:1450891009435:0,9946:1450896209435:0,992|L:1450896701435:0,9923:1450904126435:0,9894|L:1450904127435:0,9894:1450922128435:0,9899|L:1450922624435:0,9898:1450940625435:0,9886|L:1450947574435:0,9865:1450965575435:0,9873|;positions:16|profit:-0,0108000000000004|drawdown:-0,0116000000000003|long:0,5|winratio:0,375|positivedaysratio:0|meanloss:-0,0020666666666667|meanwin:0,00129999999999999|meantrade:-0,000720000000000024|stddeviationwin:0,000966091783079295|stddeviationloss:0,000865383665716485|stddeviation:0,00188226813534453|meanholdtime:231|hitTo:8|hitTp:2|hitSl:6;
EURUSD;168;SSIStochStrategy_V0;0,11;0,25;16200000;49200000;0,06;False;SSIStochStrategy_V0;49;-0,00750000000000006;-0,00750000000000006;0,673469387755102;0,285714285714286;0,5;-0,000708571428571439;0,00123571428571431;-0,000153061224489797;0,000144455345829668;2,7994168488943E-05;0,000882043555039251;49;1;13;35;pair:EURUSD|timeframe:168|strategy:SSIStochStrategy_V0|tp:0,11|threshold:0,25|to:16200000|stochT:49200000|sl:0,06|againstCrowd:False|name:SSIStochStrategy_V0;L:1450659216435:1,0872:1450664405435:1,0865|L:1450665603435:1,087:1450681804435:1,0878|L:1450681805435:1,0879:1450682691435:1,0872|L:1450684534435:1,0868:1450685230435:1,088|L:1450685231435:1,088:1450685976435:1,0873|S:1450687245435:1,0854:1450688182435:1,0861|S:1450688279435:1,0861:1450693951435:1,0849|L:1450693952435:1,085:1450694641435:1,0862|L:1450694932435:1,086:1450703779435:1,0872|L:1450704437435:1,0875:1450705458435:1,089|L:1450708002435:1,0888:1450710151435:1,09|L:1450710152435:1,09:1450711608435:1,0913|L:1450719501435:1,0919:1450720257435:1,0912|L:1450726298435:1,0924:1450733740435:1,0917|S:1450738736435:1,091:1450748217435:1,0917|L:1450749821435:1,0919:1450762431435:1,0912|L:1450767247435:1,0917:1450767766435:1,091|L:1450767859435:1,091:1450768411435:1,0902|S:1450791329435:1,0955:1450794404435:1,0962|S:1450795721435:1,0962:1450796183435:1,0969|S:1450796221435:1,0968:1450796772435:1,0975|S:1450805483435:1,0966:1450806546435:1,0973|S:1450807611435:1,0967:1450813247435:1,0954|L:1450866729435:1,0929:1450868363435:1,0922|L:1450873282435:1,0925:1450875785435:1,0918|L:1450877547435:1,0914:1450878720435:1,0907|L:1450878721435:1,0908:1450878865435:1,0901|L:1450879143435:1,0901:1450880453435:1,0893|L:1450880730435:1,0905:1450882044435:1,0898|L:1450882829435:1,0908:1450883849435:1,0901|S:1450886489435:1,0876:1450886595435:1,0883|S:1450886596435:1,0883:1450887107435:1,089|S:1450887339435:1,0891:1450887887435:1,0879|S:1450887888435:1,0877:1450894226435:1,0884|S:1450894582435:1,0891:1450895367435:1,0898|L:1450895844435:1,09:1450897514435:1,0913|L:1450897859435:1,091:1450898209435:1,0903|L:1450909312435:1,0916:1450909902435:1,0908|L:1450920789435:1,092:1450922280435:1,0913|L:1450932532435:1,0933:1450942972435:1,0946|L:1450945233435:1,0948:1450948663435:1,0961|L:1450948664435:1,0962:1450954946435:1,0955|S:1450958756435:1,0943:1450962231435:1,095|S:1450963854435:1,0939:1450964061435:1,0946|S:1450964062435:1,0946:1450967833435:1,0953|L:1450969044435:1,0954:1450970751435:1,0947|L:1450971972435:1,0948:1450972618435:1,0961|L:1450972643435:1,0962:1450972836435:1,0955|L:1450972837435:1,0955:1450979358435:1,0948|;positions:49|profit:-0,00750000000000006|drawdown:-0,00750000000000006|long:0,673469387755102|winratio:0,285714285714286|positivedaysratio:0,5|meanloss:-0,000708571428571439|meanwin:0,00123571428571431|meantrade:-0,000153061224489797|stddeviationwin:0,000144455345829668|stddeviationloss:2,7994168488943E-05|stddeviation:0,000882043555039251|meanholdtime:49|hitTo:1|hitTp:13|hitSl:35;
USDCHF;168;SSIStochStrategy_V0;0,41;0,25;30600000;8400000;0,26;False;SSIStochStrategy_V0;13;-0,004;-0,00690000000000013;0,538461538461538;0,538461538461538;0,666666666666667;-0,00233333333333334;0,00142857142857143;-0,000307692307692308;0,00120559918204813;0,000689605362185899;0,00212583432977105;755;6;1;5;pair:USDCHF|timeframe:168|strategy:SSIStochStrategy_V0|tp:0,41|threshold:0,25|to:30600000|stochT:8400000|sl:0,26|againstCrowd:False|name:SSIStochStrategy_V0;S:1450659278435:0,9921:1450686343435:0,9947|L:1450691380435:0,9956:1450705458435:0,9928|S:1450706393435:0,9928:1450736994435:0,9925|L:1450737209435:0,9925:1450767810435:0,9933|L:1450767811435:0,9934:1450777151435:0,9908|S:1450777501435:0,9911:1450801001435:0,9869|L:1450801133435:0,9869:1450832296435:0,9877|L:1450834473435:0,9882:1450865074435:0,9898|S:1450865600435:0,9896:1450878895435:0,9922|L:1450879751435:0,9918:1450904128435:0,9892|S:1450904297435:0,9898:1450934898435:0,9883|S:1450935226435:0,9881:1450965827435:0,9873|L:1450967343435:0,9878:1451260804435:0,987|;positions:13|profit:-0,004|drawdown:-0,00690000000000013|long:0,538461538461538|winratio:0,538461538461538|positivedaysratio:0,666666666666667|meanloss:-0,00233333333333334|meanwin:0,00142857142857143|meantrade:-0,000307692307692308|stddeviationwin:0,00120559918204813|stddeviationloss:0,000689605362185899|stddeviation:0,00212583432977105|meanholdtime:755|hitTo:6|hitTp:1|hitSl:5;
USDCHF;168;SSIStochStrategy_V0;0,41;0,05;34200000;60000000;0,16;True;SSIStochStrategy_V0;9;-0,000299999999999967;-0,000600000000000045;0,777777777777778;0,444444444444444;0,333333333333333;-0,00162;0,00195000000000001;-3,33333333333297E-05;0,00136839321834038;4,00000000000178E-05;0,001994993734326;836;2;1;5;pair:USDCHF|timeframe:168|strategy:SSIStochStrategy_V0|tp:0,41|threshold:0,05|to:34200000|stochT:60000000|sl:0,16|againstCrowd:True|name:SSIStochStrategy_V0;L:1450659278435:0,9922:1450692005435:0,9963|S:1450789573435:0,9893:1450823952435:0,9877|L:1450824421435:0,9881:1450858622435:0,9899|L:1450890576435:0,9943:1450894979435:0,9927|L:1450894987435:0,9929:1450897006435:0,9913|L:1450897374435:0,9915:1450904125435:0,9898|L:1450904358435:0,9899:1450926736435:0,9883|L:1450933821435:0,9883:1450947045435:0,9867|S:1450959431435:0,9875:1451260804435:0,9872|;positions:9|profit:-0,000299999999999967|drawdown:-0,000600000000000045|long:0,777777777777778|winratio:0,444444444444444|positivedaysratio:0,333333333333333|meanloss:-0,00162|meanwin:0,00195000000000001|meantrade:-3,33333333333297E-05|stddeviationwin:0,00136839321834038|stddeviationloss:4,00000000000178E-05|stddeviation:0,001994993734326|meanholdtime:836|hitTo:2|hitTp:1|hitSl:5;
GBPUSD;168;SSIStochStrategy_V0;0,41;0,15;16200000;15600000;0,26;False;SSIStochStrategy_V0;17;0,00140000000000029;-0,000699999999999701;0,411764705882353;0,470588235294118;0,333333333333333;-0,00127777777777776;0,00161250000000002;8,23529411764876E-05;0,0013651350665777;0,00113605338076625;0,00190825922955902;534;15;0;1;pair:GBPUSD|timeframe:168|strategy:SSIStochStrategy_V0|tp:0,41|threshold:0,15|to:16200000|stochT:15600000|sl:0,26|againstCrowd:False|name:SSIStochStrategy_V0;L:1450658978435:1,4912:1450675179435:1,4915|S:1450676436435:1,4915:1450692637435:1,4898|L:1450702968435:1,4894:1450719169435:1,4886|S:1450728198435:1,4883:1450744399435:1,4892|L:1450751463435:1,489:1450767664435:1,4886|S:1450767682435:1,4885:1450783883435:1,4888|S:1450784857435:1,4873:1450801058435:1,4826|S:1450809080435:1,4811:1450825281435:1,4828|L:1450829169435:1,4825:1450845370435:1,4832|L:1450847000435:1,4834:1450863201435:1,4833|S:1450864618435:1,485:1450871205435:1,4889|S:1450871206435:1,4886:1450887407435:1,4867|S:1450887775435:1,4878:1450903976435:1,4877|L:1450905575435:1,4871:1450921776435:1,4884|S:1450930030435:1,4876:1450946231435:1,4887|L:1450946232435:1,4887:1450962433435:1,4909|S:1450964777435:1,491:1451260804435:1,4933|;positions:17|profit:0,00140000000000029|drawdown:-0,000699999999999701|long:0,411764705882353|winratio:0,470588235294118|positivedaysratio:0,333333333333333|meanloss:-0,00127777777777776|meanwin:0,00161250000000002|meantrade:8,23529411764876E-05|stddeviationwin:0,0013651350665777|stddeviationloss:0,00113605338076625|stddeviation:0,00190825922955902|meanholdtime:534|hitTo:15|hitTp:0|hitSl:1;
EURUSD;168;SSIStochStrategy_V0;0,06;0,2;21600000;69600000;0,06;False;SSIStochStrategy_V0;59;-0,00780000000000114;-0,00920000000000121;0,796610169491525;0,406779661016949;0,5;-0,000705714285714316;0,000704166666666663;-0,000132203389830528;1,9982631347165E-05;2,32115382989581E-05;0,000692928122074295;27;0;24;35;pair:EURUSD|timeframe:168|strategy:SSIStochStrategy_V0|tp:0,06|threshold:0,2|to:21600000|stochT:69600000|sl:0,06|againstCrowd:False|name:SSIStochStrategy_V0;L:1450659216435:1,0872:1450661126435:1,0879|L:1450661493435:1,088:1450661662435:1,0873|L:1450661663435:1,0874:1450664126435:1,0867|L:1450675092435:1,0869:1450678409435:1,0876|L:1450679735435:1,0878:1450680636435:1,0871|L:1450681349435:1,0874:1450683322435:1,0881|L:1450683487435:1,0882:1450683671435:1,0875|L:1450683739435:1,0875:1450684125435:1,0868|L:1450684166435:1,0866:1450685042435:1,0873|L:1450685276435:1,088:1450685976435:1,0873|L:1450686377435:1,0865:1450686833435:1,0858|S:1450687245435:1,0854:1450688182435:1,0861|S:1450689536435:1,0856:1450693361435:1,0863|L:1450695787435:1,0864:1450697595435:1,0871|L:1450697682435:1,087:1450700487435:1,0863|L:1450700877435:1,0862:1450703665435:1,0869|L:1450704437435:1,0875:1450705456435:1,0883|L:1450705782435:1,0891:1450706406435:1,0898|L:1450706697435:1,0899:1450707666435:1,0892|L:1450708994435:1,0893:1450709291435:1,0886|L:1450709294435:1,0886:1450709475435:1,0893|L:1450710094435:1,0899:1450710456435:1,0906|L:1450710525435:1,0903:1450711491435:1,091|L:1450713959435:1,0918:1450714474435:1,0925|L:1450727705435:1,0925:1450733141435:1,0918|S:1450738867435:1,0913:1450746076435:1,0906|S:1450746077435:1,0906:1450747501435:1,0913|L:1450750674435:1,0916:1450753866435:1,0923|L:1450753917435:1,0923:1450754685435:1,0916|L:1450755931435:1,0918:1450762653435:1,0911|S:1450791329435:1,0955:1450791679435:1,0948|S:1450791813435:1,0955:1450794404435:1,0962|S:1450805544435:1,0965:1450806545435:1,0972|S:1450808105435:1,0965:1450812945435:1,0958|L:1450877547435:1,0914:1450878720435:1,0907|L:1450878721435:1,0908:1450878865435:1,0901|L:1450879143435:1,0901:1450880453435:1,0893|L:1450880730435:1,0905:1450880952435:1,0912|L:1450880953435:1,0912:1450881660435:1,0905|L:1450882646435:1,0909:1450883823435:1,0902|L:1450883965435:1,0901:1450886183435:1,0894|S:1450886856435:1,0885:1450887192435:1,0892|S:1450888020435:1,0876:1450889443435:1,0883|S:1450894582435:1,0891:1450895367435:1,0898|L:1450897128435:1,0907:1450897621435:1,0914|L:1450897869435:1,091:1450898209435:1,0903|L:1450909312435:1,0916:1450909902435:1,0908|L:1450910164435:1,091:1450910323435:1,0903|L:1450920789435:1,092:1450922280435:1,0913|L:1450923234435:1,092:1450925506435:1,0927|L:1450925741435:1,0933:1450926813435:1,094|L:1450930085435:1,0929:1450933261435:1,0936|L:1450933262435:1,0936:1450938872435:1,0929|L:1450941224435:1,0936:1450942743435:1,0943|S:1450964411435:1,0935:1450965465435:1,0942|L:1450969044435:1,0954:1450970751435:1,0947|L:1450971972435:1,0948:1450972385435:1,0955|L:1450972643435:1,0962:1450972836435:1,0955|L:1450972837435:1,0955:1450975788435:1,0962|;positions:59|profit:-0,00780000000000114|drawdown:-0,00920000000000121|long:0,796610169491525|winratio:0,406779661016949|positivedaysratio:0,5|meanloss:-0,000705714285714316|meanwin:0,000704166666666663|meantrade:-0,000132203389830528|stddeviationwin:1,9982631347165E-05|stddeviationloss:2,32115382989581E-05|stddeviation:0,000692928122074295|meanholdtime:27|hitTo:0|hitTp:24|hitSl:35;
